name,symbol,contract_addresses
Audius,AUDIO,"[{'platform': 'ethereum', 'contract_address': '0x18aaa7115705e8be94bffebde57af9bfc265b998'}]"
Compound,COMP,"[{'platform': 'ethereum', 'contract_address': '0xc00e94cb662c3520282e6f5717214004a7f26888'}, {'platform': 'polygon-pos', 'contract_address': '0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c'}, {'platform': 'binance-smart-chain', 'contract_address': '0x52ce071bd9b1c4b00a0b92d298c512478cad67e8'}, {'platform': 'arbitrum-one', 'contract_address': '0x354a6da3fcde098f8389cad84b0182725c6c91de'}]"
Gnosis,GNO,"[{'platform': 'arbitrum-one', 'contract_address': '0xa0b862f60edef4452f25b4160f177db44deb6cf1'}, {'platform': 'ethereum', 'contract_address': '0x6810e776880c02933d47db1b9fc05908e5386b96'}]"
Ankr Network,ANKR,"[{'platform': 'ethereum', 'contract_address': '0x8290333cef9e6d528dd5618fb97a76f268f3edd4'}, {'platform': 'polygon-pos', 'contract_address': '0x101a023270368c0d50bffb62780f4afd4ea79c35'}, {'platform': 'binance-smart-chain', 'contract_address': '0xf307910a4c7bbc79691fd374889b36d8531b08e3'}]"
Olympus DAO,OHM,"[{'platform': 'ethereum', 'contract_address': '0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5'}]"
Balancer,BAL,"[{'platform': 'optimistic-ethereum', 'contract_address': '0xfe8b128ba8c78aabc59d4c64cee7ff28e9379921'}, {'platform': 'arbitrum-one', 'contract_address': '0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8'}, {'platform': 'ethereum', 'contract_address': '0xba100000625a3754423978a60c9317c58a424e3d'}, {'platform': 'polygon-pos', 'contract_address': '0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3'}]"
Magic,MAGIC,"[{'platform': 'ethereum', 'contract_address': '0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a'}, {'platform': 'arbitrum-one', 'contract_address': '0x539bde0d7dbd336b79148aa742883198bbf60342'}]"
yearn.finance,YFI,"[{'platform': 'polygon-pos', 'contract_address': '0xda537104d6a5edd53c6fbba9a898708e465260b6'}, {'platform': 'ethereum', 'contract_address': '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e'}, {'platform': 'arbitrum-one', 'contract_address': '0x82e3a8f066a6989666b031d916c43672085b1582'}]"
SafeMoon,SAFEMOON,"[{'platform': 'binance-smart-chain', 'contract_address': '0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3'}]"
Gains Farm,GFARM2,"[{'platform': 'ethereum', 'contract_address': '0x831091da075665168e01898c6dac004a867f1e1b'}, {'platform': 'polygon-pos', 'contract_address': '0x7075cab6bcca06613e2d071bd918d1a0241379e2'}]"
LUSD,lusd,"[{'platform': 'binance-smart-chain', 'contract_address': '0x23e8a70534308a4aaf76fb8c32ec13d17a3bd89e'}]"
SSV Network,SSV,"[{'platform': 'ethereum', 'contract_address': '0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54'}]"
IoTeX,IOTX,"[{'platform': 'ethereum', 'contract_address': '0x6fb3e0a217407efff7ca062d46c26e5d60a14d69'}]"
Convex CRV,CVXCRV,"[{'platform': 'ethereum', 'contract_address': '0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7'}]"
One,ONE,"[{'platform': 'binance-smart-chain', 'contract_address': '0x04baf95fd4c52fd09a56d840baee0ab8d7357bf0'}, {'platform': 'ethereum', 'contract_address': '0x946551dd05c5abd7cc808927480225ce36d8c475'}]"
Golem,GLM,"[{'platform': 'ethereum', 'contract_address': '0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429'}]"
Jasmy,JASMY,"[{'platform': 'ethereum', 'contract_address': '0x7420b4b9a0110cdc71fb720908340c03f9bc03ec'}]"
0x,ZRX,"[{'platform': 'ethereum', 'contract_address': '0xe41d2489571d322189246dafa5ebde1f4699f498'}]"
Huobi BTC,HBTC,"[{'platform': 'ethereum', 'contract_address': '0x0316eb71485b0ab14103307bf65a021042c6d380'}]"
Bone,BONE,"[{'platform': 'ethereum', 'contract_address': '0x5c84bc60a796534bfec3439af0e6db616a966335'}]"
STEPN,GMT,"[{'platform': 'ethereum', 'contract_address': '0xe3c408bd53c31c085a1746af401a4042954ff740'}, {'platform': 'binance-smart-chain', 'contract_address': '0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1'}]"
Frax Ether,frxeth,"[{'platform': 'ethereum', 'contract_address': '0x5e8422345238f34275888049021821e8e08caa1f'}]"
Blur,blur,"[{'platform': 'ethereum', 'contract_address': '0x5283d291dbcf85356a21ba090e6db59121208b44'}]"
Escoin Token,ELG,"[{'platform': 'ethereum', 'contract_address': '0xa2085073878152ac3090ea13d1e41bd69e60dc99'}]"
Astrafer,astrafer,"[{'platform': 'ethereum', 'contract_address': '0x97bbbc5d96875fb78d2f14b7ff8d7a3a74106f17'}, {'platform': 'polygon-pos', 'contract_address': '0xdfce1e99a31c4597a3f8a8945cbfa9037655e335'}]"
Band Protocol,BAND,"[{'platform': 'ethereum', 'contract_address': '0xba11d00c5f74255f56a5e366f4f77f5a186d7f55'}]"
Euro Tether,EURT,"[{'platform': 'ethereum', 'contract_address': '0xc581b735a1688071a1746c968e0798d642ede491'}]"
